"DESCRICAO","CODIGO"
"ABERTURA TESTAMENTO",1
"RECLAMAÇÃO TRABALHISTA",2
"OUTROS EFEITOS NÃO ESPECIFICADOS",3
"ORDINÁRIA",4
"INDENIZAÇÃO",5
"EXECUÇÃO DE SENTENÇA",6
"EXECUÇÃO",7
"DESPEJO POR FALTA DE PAGAMENTO",8
"DECLARATÓRIA",9
"CAUTELAR DE BUSCA E APREENSÃO",10
"AÇÃO RESCISÓRIA",11
"OBRIGAÇÃO DE FAZER",12
"EXONERAÇÃO",13
"CONVERSÃO DE SEPARAÇÃO EM DIVORCIO",14
"OBRIGAÇÃO DE NÃO FAZER",15
"REPARAÇÃO DE DANOS",16
"EMBARGOS DE TERCEIROS",17
"REVISIONAL",18
"IMPUGNAÇÃO AO VALOR DA CAUSA",19
"GUARDA DE MENOR",20
"CAUTELAR",21
"SEPARAÇÃO CONSENSUAL",22
"CONSIGNATORIA",23
"DANOS MORAIS",24
"EXECUÇÃO DE TITULO EXECUTIVO EXTRAJUDICIAL",25
"EMBARGO DE EXECUÇÃO",26
"AJUIZADO ESPECIAL",27
"PROCEDIMENTO COMUM",28
"TUTELA ANTECIPADA",29
"TUTELA DE URGÊNCIA",30
"PRESTAÇÃO DE CONTAS - EXIGIDAS",31
"PRODUÇÃO ANTECIPADA DE PROVAS",32
"USUCAPIÃO",33
