"CODEMPRESA","PROCESSO","CODADVOG"
2,"10017921220188260011",1
2,"10517707920188260100",1
6,"00833647820118260002",1
7,"10108901420198260002",1
11,"10756887820198260100",1
14,"000.01.012.421-7",1
17,"15201.2006.013.948-9",1
17,"1991-02",1
21,"10176438120198260003",1
33,"10381244120148260100",1
36,"11238452420158260100",1
40,"10305477820158260002",1
44,"10590511820208260100",1
55,"10022347320168260002",1
57,"01355183620128260100",1
61,"00700239720028260002",1
68,"10223750620228260002",1
70,"10231038120218260002",1
77,"04.055.190-5",1
78,"00691164420108260002",1
332,"10101430520228260020",1
252,"10535371920228260002",1
914,"10624886220238260100",1
896,"10462749620238260002",1
913,"10128833520238260008",1
913,"10176510420238260008",1
931,"10345126220188260001",1
80,"10596522920178260100",1
90,"583.00.2010.148731-0",1
91,"583002007260711-6",1
91,"583002011110729-3",1
332,"10053886420248260020",1
186,"10706241420248260100",1
952,"10098251420198260477",1
953,"11627550820248260100",1
953,"11710599320248260100",1
953,"11627049420248260100",1
937,"10423045720248260001",1
240,"12000611120248260100",1
953,"10240430420258260100",1
239,"10354362320258260100",1
913,"10029786920248260008",1
953,"40029477620258260100",1
965,"10052028920258260704",1
958,"40088318620258260100",1
968,"40043086320258260348",1
981,"10147140520248260002",1
75,"583002011177203-3",1
928,"10082858220258260100",1
932,"40081977220258260009",1
889,"40035779820258260564",1
87,"02138663920108260100",1
967,"40199406320268260100",1
966,"40013365420258260564",1
989,"40286126020268260100",1
98,"10345455420158260002",1
99,"58302.2006.159896-8",1
105,"583.00.2008.207048-0",1
115,"000.2006.238.482-5",1
124,"58303.2003.029.185-5",1
125,"006.09.205.364-0",1
125,"006.10.007.474-5",1
125,"58306.2006.108.685-3",1
125,"58306.2006.108.694-4",1
133,"58302.2007.159.196-4",1
133,"58302.2008.145.263-0",1
133,"58302.2009.103.600-0",1
154,"01286841720128260100",1
154,"10329775820198260100",1
154,"1037088902016860100",1
155,"10518005920148260002",1
157,"58300.2008.219.481-1",1
164,"58300.2008.201.506-0",1
164,"58300.2009.163.347-9",1
166,"10056414520208260100",1
166,"11019653420198260100",1
170,"01673364520088260100",1
170,"10631391220148260100",1
170,"10847147620148260100",1
171,"10409742420218260100",1
173,"01452629720088260002",1
177,"02100095320088260100",1
178,"10189200420208260002",1
180,"00125948920138260002",1
181,"10016604220158260016",1
187,"58300.2009.213.996-7",1
193,"00095607120108260565",1
193,"00116655520098260565",1
195,"10054601220198260704",1
196,"10907823220208260100",1
200,"00173115220108260002",1
153,"10198259820238260100",1
916,"10136465220178260006",1
916,"10115798520158260006",1
920,"10112546220248260405",1
206,"10276598720258260002",1
211,"10031151120258260010",1
909,"10042813320258260704",1
958,"40016936820258260100",1
74,"40064085920258260002",1
244,"40076530520258260100",1
329,"40164507020258260002",1
958,"40091886620258260100",1
974,"40068550220258260405",1
933,"40321100720258260002",1
967,"40731783120258260100",1
943,"10704856520248260002",1
207,"161.01.2010.013937-6",1
211,"40005135920268260010",1
247,"10008549720258260002",1
220,"00018838420118260005",1
220,"00018846920118260005",1
220,"00018855420118260005",1
220,"00018863920118260005",1
220,"00018872420118260005",1
220,"268012012002035-7",1
224,"10141978020138260100",1
226,"10209695920138260100",1
226,"583.00.2010.179917-2",1
233,"00668245220118260002",1
234,"11263719520148260100",1
244,"10141534620228260100",1
253,"00082971220138260011",1
332,"10101482720228260020",1
890,"10101907620228260020",1
209,"10069084920218260704",1
913,"10033340720238260006",1
98,"11045831320238260002",1
332,"10223778220238260020",1
930,"10840451120238260002",1
308,"00062515820058260002",1
936,"10229409620248260002",1
886,"10162875220228260001",1
334,"10116574020228260554",1
308,"00405710820038260002",1
334,"10452410820228260002",1
289,"10491635720228260002",1
328,"10806418020228260100",1
332,"10106584020228260020",1
339,"10059292720248260011",1
1,"10715838520248260002",1
901,"10462538920248260001",1
953,"10058348420258260100",1
216,"10538877520208260002",1
19,"10253144820258260100",1
951,"10057054520258260564",1
953,"10330900220258260100",1
948,"10640573020258260100",1
963,"10063023920258260161",1
894,"10810435920258260100",1
952,"10137812820258260477",1
953,"40265516620258260100",1
924,"40030018020258260152",1
959,"40145934120258260114",1
980,"40027223520258260010",1
982,"40030089420258260565",1
943,"40344632020258260002",1
975,"11182448520258260100",1
323,"10057190620248260001",1
957,"10057837320258260003",1
894,"40114513720268260100",1
967,"40147675820268260100",1
966,"40028370920268260564",1
896,"10627626320228260002",1
332,"10123983320228260020",1
312,"11226981620228260100",1
896,"10426348520238260002",1
916,"10125352320238260006",1
924,"10105965520238260152",1
927,"10014995620248260100",1
97,"10151843620248260002",1
263,"11041176520138260100",1
265,"10395005220208260100",1
267,"10255057920148260100",1
