"CODEMPRESA","PROCESSO","DATA","DESCRICAO","DOCUMENTO","INTERNET","ID","DTMAX","IMPMEMO","IMPRESSAO"
1,"1,2302003032e+015","23/12/2004","protocolou petição juntando o pagamento da quantia de R$3.107,00","","True",3,"","","True"
68,"10223750620228260002","01/08/2022","MANIFESTO EXEQUENTE, PROT PET REITEIRANDO PAGINAS 46/49.
PROT. PET. REITEIRANDO OS TERMOS DE FLS 46/49","","True",9819,"","","True"
275,"10560774520198260002","03/08/2022","PROT PET REQ A INTIMAÇÃO DA PERITA PARA MANIFESTAÇÃO.
DESPACHO DO JUIZ:  Cumpra-se o gabinete com envio de e-mail à perita para responder conforme fls.1051 com urgência.","","True",9821,"","","True"
332,"10101482720228260020","03/08/2022","CITE-SE PARA PAGAR EM 3 DIAS , HON 10","","True",9826,"","","True"
332,"10101430520228260020","03/08/2022","SALA DO JUIZ NESTA DATA","","True",9827,"","","True"
275,"10560774520198260002","04/08/2022","DO Teor do ato: Vistos. Cumpra-se o gabinete com envio de e-mail à perita para responder conforme fls.1051 com urgência.
ENVIADO EMAIL PARA A PERITA NESTA DATA.","","True",9830,"","","True"
890,"10101907620228260020","04/08/2022","DO - CITE-SE PARA PAGAR EM 3 DIAS SOB PENA DE ACRESCIMOS DE HONORARIOS EM 10%","","False",9833,"","","False"
328,"10806418020228260100","04/08/2022","do cite-se para pagar em 3 dias - hon 10%","","False",9839,"","","False"
328,"10806418020228260100","05/08/2022","prot pet req suspensao por 30 dias, por estarem as partes em tratativas amigáveis.","","False",9840,"","","False"
332,"10101428820208260020","03/11/2022","PENHORA ON LINE INFRUTIFERA (NÃO TEM NADA NA CONTA BANCARIA).
PROT PET REQUERENDO A PENHORA DO APARTAMENTO.","","True",10372,"","","True"
323,"10237870920218260001","09/02/2023","PROT PET REQ QUE O CARTORIO REFAÇA O OFICIO, POIS SEGUNDO INFORMAÇÃO DO 17O. REGISTRO IMOBILIARIO, O OFICIO FOI ERRADO, FALTANDO DADOS.","","True",10897,"","","True"
308,"10542443120158260002","08/08/2022","DO DETERMINO A CITAÇÃO POR EDITAL . ","","True",9842,"","","True"
323,"1011036872021826001","08/08/2022","DO PROVIDENCIE A SERVENTIA COM BREVIDADE A EXPEDIÇÃO DE MANDADO DE LEVANTAMENTO ELETRONICO.","","True",9843,"","","True"
890,"10101907620228260020","08/08/2022","PROT PET ACORDO","","False",9844,"","","False"
308,"00405710820038260002","27/07/2022","AUTOS DIGITALIZADOS","","True",9845,"","","True"
308,"00405710820038260002","03/08/2022","PROT PET REQ PROSSEGUIMENTO DA AÇÃO, COM A INTIMAÇÃO DO DEVEDOR PAR PAGARM JUNTAMOS CALCULO E CUSTAS.","","True",9846,"","","True"
239,"11581233620248260100","04/10/2024","PROT PET EMENDA DA INICIAL, PARA AUTALIZAR O VALOR DA CAUSA E PAGAR AS CUSTAS COMPLEMENTARES.","","True",15042,"","","True"
332,"10101482720228260020","22/10/2024","FALEI NO BALCÃO VIRTUAL PARA AGILIZAR O PROCESSO.","","True",15178,"","","True"
927,"10014995620248260100","26/05/2025","DO MANIFESTE-SE O EXEQUENTE.
PROT PET CITAÇÃO POR EDITAL, TENDO EM VISTA QUE O ENDEREÇO FORNECIDO É O MESMO QUE JA FOI DILIGENCIADO.","","True",16520,"","","True"
244,"10141534620228260100","01/07/2025","DO CANCELEM-SE OS LEILÕES  E EXPEÇA MANDADO DE LEVANTAMENTO A FAVOR DO EXEQUENTE.","","True",16711,"","","True"
953,"11627049420248260100","01/07/2025","SALA DO JUIZ 23/06","","True",16712,"","","True"
953,"11710599320248260100","12/06/2025","CARTA DE INTIMAÇÃO EXPEDIDA EM 11/06
","","True",16713,"","","True"
953,"11710599320248260100","01/07/2025","DO DEFIRO A PENHORA ON LINE DAS CONTAS DO EXECUTADO.","","True",16714,"","","True"
953,"11627550820248260100","01/07/2025","DO MANIFESTE-SE A EMBARGANTE SOBRE A IMPUGNAÇÃO APRESENTADA","","True",16715,"","","True"
953,"11673236720248260100","01/07/2025","DO REALIZADO O PROTOCOLO DE REGISTRO DE PENHORA - PH 000575113","","True",16716,"","","True"
953,"10058539020258260100","01/07/2025","CARTA EXPEDIDA 13/06","","True",16717,"","","True"
339,"10059292720248260011","10/02/2026","PARTE CONTRARIA INGRESSOU COM PETIÇÃO REQUERENDO AUDIENCIA DE CONCILIAÇÃO
PROT PET DIZENDO QUE O CONDOMÍNIO NÃO TEM INTERESSE EM AUDIENCIA DE CONCILIAÇÃO","","True",18095,"","","True"
967,"40199406320268260100","10/02/2026","PROCESSO DISTRIBUIDO - APT 417","","True",18096,"","","True"
332,"10101430520228260020","08/08/2022","DO EMENDE O AUTOR A INICIAL, JUNTANDO OS BOLETOS DAS QUOTAS DEVIDAS.","","True",9853,"","","True"
178,"10189200420208260002","08/08/2022","PROT PET REQ QUE O CARTORIO INTIME A PERITA, CONFORME DETERMINAÇÃO DO JUIZ.","","True",9855,"","","True"
216,"10538877520208260002","08/08/2022","PROT PET REQUERENDO O REGULAR ANDAMENTO DO PROCESSO.","","True",9857,"","","True"
61,"00700239720028260002","08/08/2022","DO MINISTERIO PUBLICO","","True",9862,"","","True"
244,"10141534620228260100","08/08/2022","CARTA EXPEDIDA EM 02/08/2022","","True",9863,"","","True"
915,"10447142220238260002","23/07/2024","PROT PET REQ PENHORA DO IMOVEL
COLOCAMOS NO CORREIO POR ARS OS OFICIOS DPOS BANCOS","","True",14611,"","","True"
953,"10240430420258260100","01/07/2025","EXPEDIDA CARTA PARA NIMONAR EM 27/06","","True",16718,"","","True"
240,"12000611120248260100","01/06/2025","DO HOMOLOGO O ACORDO","","True",16719,"","","True"
211,"10031151120258260010","25/06/2025","JUNTADO AR POSITIVO DO ANDREW
JUNTADO AR NEGATIVO DA ERIKA","","True",16720,"","","True"
